ID;title;url;author;institutionName;institutionUrl;helix;role;expertise;description;appendixUrl
1; Seeking end-user for 2D materials-based devices and systems proposal ;https://crowdhelix.com/opportunities/seeking-end-user-for-2d-materials-based-devices-and-systems-proposal-2275;Christa Ivanova ;Elvesys ;https://crowdhelix.com/organisation/elvesys-441;Health, Materials, Experts;Coordinator, Consortium Partner;Clinical analytics, End-user, Peptide sequences, Protein screening;Elvesys is currently partnering in a proposal led by the Luxembourg Institute of Technology. We are looking for a partner to complete our consortium: Our objective is to produce a protein sequencer with better resolution and sensitivity than current Mass Spectrometry (MS). Our device would not have the same throughput than MS to detect biomarkers known for example from a database (biomarkers for which MS/e is known) but we would be able to sequence ex-novo proteins and for example, detect the sites of post-translational modifications using a cost-effective device. We currently have a strong consortium of material scientist, people working in the biosensing community and in protein production that have an advance draft of the proposal. We are looking for a partner with a clinical application that could take advantage from our device to mount a case study with proven clinical relevance where our device would have an advantage to provide an application, which today cannot be done with current methods. Ideally the partner should be able to prepare the protein assay with smart digestion and purification of the proteins to isolate peptides of ~30 amino acids whit the relevant fragment to sequence.;
2; Seeking to join European projects as a CRO partner for HORIZON-HLTH-2022-DISEASE ;https://crowdhelix.com/opportunities/seeking-to-join-european-projects-as-a-cro-partner-for-horizon-hlth-2022-disease-2252;Alberto Corral ;Alpha Bioresearch ;https://crowdhelix.com/organisation/alpha-bioresearch-10714;Health, Vascular, Mission Cancer;Work Package Leader, Consortium Partner;Hepatology, Cardiovascular, Clinical research, Clinical trial, Cns;Alpha Bioresearch is a spanish CRO who has led clinical research projects for more than 25 years. We have experience in Horizon 2020 funds (A-TANGO, CARBALIVE projects), where we can act as a partner of the consortium. Also we have established partnerships with specialised consultants in providing support for the request for a technical proposal and financial control of the project. We can be partners of any project in HORIZON-HLTH-2022-DISEASE or similar with clinical trials. We can cover all therapeutic areas. If you need support in your clinical trials, please get in touch.;https://crowdhelix.com/uploads/post_attachments/6323313d74fc0_Alpha_Brochure_European_Funds.pdf
3; Offering expertise in bioethics and health policy for the upcoming call on palliative care ;https://crowdhelix.com/opportunities/offering-expertise-in-bioethics-and-health-policy-for-the-upcoming-call-on-palliative-care-2247;Natalya Prilipko ;University of Haifa ;https://crowdhelix.com/organisation/university-of-haifa-5163;Health, COVID-19, Liver Health;Consortium Partner;Pharmacology, Palliative care, Behavioural and social sciences, Pain management, Caregivers, Patient associations ;Targeting the upcoming CL1 call topic: HORIZON-HLTH-2023-DISEASE-03-01: Novel approaches for palliative and end-of-life care for non-cancer patients (deadline 13 April 2023) Prof. Daniel Sperling, expert in Bioethics and Health Policy in Palliative care from the department of Nursing is seeking to contribute the following expertise for this call topic: Explore through qualitative research the complex human, social, cultural and ethical aspects associated with end-of-life care and its integration in the healthcare systems. Provide an analysis of the relationships between sex, gender, age, disabilities and socio-economic factors in health and any ethical, familial, and cultural considerations that could affect health equity related to end-of-life and palliative care especially among cultural minorities, specifically Arabs and Ultra-Orthodox Jews in Israel. Qualitative research examining the experiences, attitudes, and challenges of patients living with cancer or rare diseases, especially at end-of-life. For relevant publications, please see attached profile. If interested, kindly contact Prof. Sperling directly at dsperling@univ.haifa.ac.il.;https://crowdhelix.com/uploads/post_attachments/63216d413ff9d_Daniel%20Sperling%20-%20PartnerSearch%20Profile%202023.pdf
4;Seeking international collaborators for a COST Action proposal of a European network for animal evolutionary immunology;https://crowdhelix.com/opportunities/seeking-international-collaborators-for-a-cost-action-proposal-of-a-european-network-for-animal-evolutionary-immunology-2182;Dr. Michal Vinkler;Charles University;https://crowdhelix.com/organisation/charles-university-3312;Health, Food, Healthy Cities;Coordinator, Work Package Leader, Consortium Partner;Proteomics, Genotype-phenotype correlation, Transcriptomics, Cell biology, Genomic characterization of phenotypes, Molecular genetics, Structural bioinformatics, Functional genomics, Evolutionary immunology, Ecological immunology, Comparative immunology, Evolutionary genetics, Evolutionary bioinformatics, Ecoimmunology, Evolutionary parasitology, Immunological applications, Evolutionary applications, Sequence bioinformatics;Targeting the upcoming CL1 call topic: HORIZON-HLTH-2023-DISEASE-03-01: Novel approaches for palliative and end-of-life care for non-cancer patients (deadline 13 April 2023) Prof. Daniel Sperling, expert in Bioethics and Health Policy in Palliative care from the department of Nursing is seeking to contribute the following expertise for this call topic: Explore through qualitative research the complex human, social, cultural and ethical aspects associated with end-of-life care and its integration in the healthcare systems. Provide an analysis of the relationships between sex, gender, age, disabilities and socio-economic factors in health and any ethical, familial, and cultural considerations that could affect health equity related to end-of-life and palliative care especially among cultural minorities, specifically Arabs and Ultra-Orthodox Jews in Israel. Qualitative research examining the experiences, attitudes, and challenges of patients living with cancer or rare diseases, especially at end-of-life. For relevant publications, please see attached profile. If interested, kindly contact Prof. Sperling directly at dsperling@univ.haifa.ac.il.;
5;Postponed - Health Helix Event, Leuven (Belgium);https://crowdhelix.com/opportunities/postponed-health-helix-event-leuven-belgium-2180;Andreea Petrea;Crowdhelix;https://crowdhelix.com/organisation/crowdhelix-134;Health, Announcements, Mission Cancer;Event Attendee;Health, International networking, Emerging technologies, Eu mission cancer, Cluster 1;We are pleased to announce that Crowdhelix, in collaboration with KU Leuven, will be hosting an in person event on the 24-25 October 2022 at KU Leuven's campus in Leuven, Belgium. The theme of this event will be health, with a strong focus on the Cancer Mission. The event will also integrate sessions on emerging technologies and transversal elements, as well as elevator pitch sessions.This event is dedicated to mid-stage researchers and is focused on facilitating long-term collaborations. More details and registrations for this event will be shared in September.In the meantime, I remain at your disposal for any question.;
6;"MSCA-IF ""hosting institution offer"" for a talented post-doc willing to learn microfluidics and entrepreneurship";https://crowdhelix.com/opportunities/msca-if-hosting-institution-offer-for-a-talented-post-doc-willing-to-learn-microfluidics-and-entrepreneurship-696;Christa Ivanova;Elvesys;https://crowdhelix.com/organisation/elvesys-441;Health, Materials, Talent;Individual Expert;Entrepreneurship training, Microfluidics, Individual fellowship, Chip design;Elvesys proposes to be the hosting institution for the prestigious MSCA-Individual Fellowship. We propose trainings in microfluidics (chips design, production, flow control) and in entrepreneurship.You can find suggested research topics in the attached document, but we welcome applications that mix your expertise with microfluidics, with an intent to create a product or a start-up in the near future.We look forward to receiving your application and discussing your project idea further via Private Message.;https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/msca-if-2019
7;Offering expertise in microfluidics & lab-on-chip in Eurostars project;https://crowdhelix.com/opportunities/offering-expertise-in-microfluidics-lab-on-chip-in-eurostars-project-1257;Christa Ivanova;Elvesys;https://crowdhelix.com/organisation/elvesys-441;Health;Work Package Leader, Consortium Partner, Individual Expert;Deep learning, Company support for innovation, Lab-on-chip, Biotechnology;Elvesys is a French innovative SME specialized in microfluidic instrumentation and flow control. We are interested to join a consortium for the EUREKA Eurostars programme.In particular, we can contribute to the development of lab-on-chip set-ups for analysis of chemicals, or organ-on-chip platforms to evaluate the toxicity of pollutants on health. We can also provide flow control instrumentation for a variety of applications, like nanoparticle synthesis, singe-cell encapsulation or miniaturized bioreactors.For more information about our skills for this call, see our website: https://www.elveflow.com/group...We will be happy to discuss further!;
8;Microfluidic experts seeking partners for JPND call on Neurodegenerative Disease Research;https://crowdhelix.com/opportunities/microfluidic-experts-seeking-partners-for-jpnd-call-on-neurodegenerative-disease-research-1275;Christa Ivanova;Elvesys;https://crowdhelix.com/organisation/elvesys-441;Health;Work Package Leader, Consortium Partner, Individual Expert, Individual Expert;Data analysis, Neuroscience, In-vitro studies;Elvesys is a French innovative SME specialized in microfluidic instrumentation and flow control. We are interested to join a consortium for the JPND ERA-NET Joint EU programme.In particular, we can contribute to the development of lab-on-chip set-ups for analysis of pharmaceutical compounds, or organ-on-chip platforms for in-vitro modeling of the human neuronal network. We can also provide flow control instrumentation for a variety of other applications, like drug encapsulation or single cell separation.For more information about our skills for this call, see our website:https://www.elveflow.com/group...;
9;Seeking international experts in leonardite extraction for 2023 (KAVA 10) project;https://crowdhelix.com/opportunities/seeking-international-experts-in-leonardite-extraction-for-2023-kava-10-project-1957;Vedat Taylan Engin;Dokuz Eylül University;https://crowdhelix.com/organisation/dokuz-eylul-university-37;Health, Food, Raw Minerals;Coordinator, Consortium Partner;Agricultural, Agricultural development, Clinical pharmacy, Advanced organic materials, Cosmetics, Agri-food, Agri-food by-products, Advanced food processing, Clean environment, Agri-environment, Organic farming, Bioorganic chemistry;Projects 2023 (KAVA 10) project coordinator is Prof. Dr. Çağatay Pamukçu from Dokuz Eylül University Türkiye. Project note is given attachment.We are looking for more partners to complete our workgroup from different disciplines from European countries. We are looking for academicians or companies from other countries in Europe. Particular expertise areas are Geology Engineering, Biochemical Departments, Agricultural Departments, Medical Departments, Pharmacology, Food Engineering and maybe aquaculture.We will evaluate the offers because our project subject covers extensive working areas. And we must finish the creation of the project groups by May 31st.;https://crowdhelix.com/uploads/post_attachments/624daa7d3dac7_PROJECT%202023%20KAVA%2010%20SUMMARY.docx
10;Join the discussion on driving EU policy change for people living with rare diseases: a focus on Wilson’s disease;https://crowdhelix.com/opportunities/join-the-discussion-on-driving-eu-policy-change-for-people-living-with-rare-diseases-a-focus-on-wilsons-disease-2234;Dr. Magdalena Tyndyk;Crowdhelix;https://crowdhelix.com/organisation/crowdhelix-134;Health, Vascular, Liver Health;Domain Expert;Rare diseases, Eu policy, Liver, Patient association, Wilson´s disease, Patient advocates, Raise awareness;With rare diseases firmly on the political agenda, now is the time to advocate for the needs of people living with rare diseases and their families.European Liver Patients' Association (ELPA), A-TANGO partner, seeks to bring together key stakeholders from the rare disease landscape to raise awareness of current issues and discuss what could be done at the EU level to drive change for people living with Wilson's disease.ELPA will draw on the experiences of people living with Wilson's disease – a rare disease that affects the body's ability to metabolise copper – as a case study. Through this lens, ELPA will discuss how care gaps and policy barriers can impact health outcomes and quality of life and the urgently needed changes.Join leading European patient advocates, physicians and policy experts to discuss the change by registering your interest at https://bit.ly/3AW153y.;
