Id;Kód MU;Zahájení;Název projektu;Řešitel (MU);UČO;Ukončení;Role MU;Investor/Program/Podprogram;HS/součást MU;Pracoviště HS/součásti;Další HS/součást MU;Finance pro MU;- měna;Apl. výzkum;Anotace;Příslušné pracoviště MU
38104;CZ.02.1.01/0.0/0.0/16_013/0001826;1.7.2017;CZECRIN_PRO PACIENTS - introducing innovative modern therapies;doc. MUDr. Regina Demlová, Ph.D.;24063;30.06.2021;Partner;MŠMT ČR / OP VVV / PO 1 Posilování kapacit pro kvalitní výzkum;LF;Farmakologický ústav;;8 732 176;Kč;Ne;Currently, treatment methods for rare diseases are very limited;Odbor pro rozvoj (OPR)
35986;CZ.02.1.01/0.0/0.0/16_019/0000799;1.1.2017;CEPLANTbridge - Nanoscience of surfaces and plasma technologies for KET key technologies;prof. RNDr. Mirko Černák, CSc.;54782;28.02.2017;Příjemce-koordinátor;MŠMT ČR / OP VVV / PO 1 Posilování kapacit pro kvalitní výzkum;PřF;Ústav fyzikální elektroniky;LF, FSpS, CTT;;€;Ne;and mainly;Odbor pro rozvoj (OPR)
41572;CZ.02.2.67/0.0/0.0/17_044/0008551;1.11.2017;MUNI4student;doc. PhDr. Markéta Pitrová, Ph.D.;7317;31.10.2019;Příjemce;MŠMT ČR / OP VVV / PO 2 Rozvoj vysokých škol;RMU;Odbor pro rozvoj;LF, FF, PrF, FSS, PřF, FI, PdF, FSpS, ESF, Teiresiás, ÚVT, CJV;;Kč;Ne;focused on symptomatic and supportive treatment. However, as in other fields of medicine, a new paradigm of personalised medicine is gaining significant traction in rare diseases, where personalisation is defined as the use of both disease-specific and patient-specific characteristics. The range of applications of advanced therapy medicinal products (ATMPs) is expanding at a tremendous pace. The introduction of ATMPs into orphan disease therapies appears to be a very innovative and promising approach that needs to be validated in a clinical trial setting. Using the principles of personalised medicine, ATMPs, especially monoclonal antibodies and tyrosine kinase receptor inhibitors, are used in the treatment of paediatric cancer patients. Childhood cancers can also be seen as rare diseases. However, ATMPs are only registered for the adult patient population and are thus used off-label in paediatric oncology. There is very little clinical evidence of dose correlation, therapeutic concentration or anti-tumour effect of these treatments in children. There is a complete lack of information on the issue of adverse effects of these drugs in paediatric cancer patients. In line with the scientific objectives of the FNUSA-ICRC Pediatric Oncology Translational Research (POTR) team, the project aims to monitor therapeutic concentrations and search for optimal biological response of the above mentioned drugs.;Odbor pro rozvoj (OPR)
37312;CZ.02.2.69/0.0/0.0/16_015/0002418;1.4.2017;Masaryk University 4.0;doc. PhDr. Markéta Pitrová, Ph.D.;7317;30.09.2022;Příjemce;MŠMT ČR / OP VVV / PO 2 Rozvoj vysokých škol;RMU;Odbor pro rozvoj;LF, FF, PrF, FSS, PřF, FI, PdF, FSpS, ESF, Teiresiás, CJV;;Kč;Ne; Thus, the project is dedicated to the development and clinical research of ATMPs in the field of orphan diseases in the adult, and especially in the paediatric population.;Odbor pro rozvoj (OPR)
39685;CZ.02.2.69/0.0/0.0/16_027/0008360;1.10.2017;Postdoc@MUNI;Ing. Lukáš Palko;243442;30.09.2021;Příjemce;MŠMT ČR / OP VVV / PO 2 Rozvoj vysokých škol;RMU;Odbor výzkumu;LF, FF, PrF, FSS, PřF, FI, PdF, FSpS, ESF, CEITEC;;Kč;Ne;Building on the already acquired R&D excellence and innovation experience, the CEPLANTbridge project develops the CEPLANT regional R&D centre into a quality and critical mass International Centre of Excellence. CEPLANTbridge brings together cutting-edge teams from three MU faculties in the fields of chemistry, biochemistry, biophysics, electrochemistry, microbiology, and medicine to solve socially important interdisciplinary problems using nanoscience and plasma surface technologies.;Odbor pro rozvoj (OPR)
36135;GA17-09525S;1.1.2017;Unusual signaling pathways of human receptor tyrosine kinases;RNDr. Pavel Krejčí, Ph.D.;101398;31.07.2021;Příjemce-koordinátor;GA ČR / Standardní projekty;LF;Biologický ústav;;6 234 000;Kč;Ne;The project aims to improve the quality of the learning environment at Masaryk University by modernizing the equipment of teaching spaces serving the needs of undergraduate students. It focuses on the provision of infrastructural and material-technical needs, including the acquisition of modern information resources. The result is an increase in quality in the form of so-called functional units, corresponding to modern educational requirements. The project activities are comprehensive in nature with impact on all faculties and fields of study.;Odbor výzkumu (OV)
36133;GA17-17720S;1.1.2017;Intrinsic properties of RAD51 fibre and its biological regulation;doc. Mgr. Lumír Krejčí, Ph.D.;18098;31.12.2019;Příjemce;GA ČR / Standardní projekty;LF;Biologický ústav;;8 964 000;Kč;Ne;The project aims to improve the quality of education at Masaryk University with regard to labour market trends, advanced technologies, the demands of a heterogeneous student community and the needs of society. It develops strategic areas and brings the university closer to EU standards by emphasizing significant qualitative change. The aim is to achieve relevance of study offer, development of programme quality assessment, higher competence of human resources and development of study opportunities. The project is complementary to the ERDF SIMU+.;Odbor výzkumu (OV)
36134;GA17-25455S;1.1.2017;Studying the genomes of pathogenic treponemes based on single cell analysis;prof. MUDr. David Šmajs, Ph.D.;1116;31.12.2019;Příjemce;GA ČR / Standardní projekty;LF;Biologický ústav;;9 586 000;Kč;Ne;The aim of the project is to create jobs for Czech and foreign PhD graduates in research teams at all faculties of Masaryk University and the CEITEC MU Institute. These positions will contribute to strengthening scientific performance and international cooperation at MU. The project will result in 30 postdoc positions that will contribute to the production of high quality research results under the guidance of experienced mentors. The broader impact of the activities is to strengthen research excellence in Brno and the South Moravian Region.;Odbor výzkumu (OV)
36136;GJ17-25589Y;1.1.2017;Genetically distinct groups of syphilis-causing strains: do they differ during experimental infection?;Mgr. Michal Strouhal, Ph.D.;13388;25.07.2018;Příjemce;GA ČR / Juniorské granty;LF;Biologický ústav;;7 988 000;Kč;Ne;In humans, there are 54 receptor tyrosine kinases (RTKs) that respond to extracellular signals mediated by more than 100 ligands. Because each cell responds to many different stimuli simultaneously, there must be specific intracellular mechanisms of RTK signaling that allow cells to respond precisely to their environment. Detailed characterization of these mechanisms is one of the major challenges of modern biology. Recent findings demonstrate that unrelated RTKs can interact and activate (transactivate) each other. Although these unusual RTK interactions play an important role in the mechanisms of RTK function in the organism, they remain the least understood area of RTK signaling to date. The aim of the proposed project is to identify most of the existing transactivations between human RTKs. We will then define the molecular mechanisms of RTK transactivations and determine the functional consequences of transactivations for RTK signaling in cells. Characterization of RTK transactivations will deepen the fundamental understanding of RTK function and contribute to the development of novel therapeutic approaches for the treatment of tumors caused by pathological RTK signaling.;Odbor výzkumu (OV)
35066;IZ11Z0_166533/1;1.1.2017;Tau tubulin kinase 2 in ciliogenesis: mechanisms and functions;Mgr. Lukáš Čajánek, PhD.;40690;31.12.2021;Příjemce;OZ / SNSF / PROMYS;LF;Ústav histologie a embryologie;;15 625 000;Kč;Ne;;Odbor výzkumu (OV)
