ID;Reg. kód;Název;Navrhovatel;UČO;Role MU;Středisko;Pracoviště;Anotace
49793;0656/2015;mBITion (mobile, ambition to reach low literacy and BIT;Bourek Aleš, MUDr. Ph.D.;1062;Partner;LF;Biofyzikální ústav;"Main aim of the proposed project is to support self-management of healthy behavior of vulnerable populations (ageing and low SES) across the EU using evidence-based Behavioral Intervention Technologies (BITs)  in mHealth applications. This will contribute to the quality and economic sustainability of prevention, cure and care. These BITs offer the advantage that they can effectively provide personal and dynamic support , by using a combination of mathematical, dynamic modelling of behavior and behavior change intervention techniques, and effectively combining different sources of information. The extent to which BITs provide advantages, however, highly depends on the content delivered, and the fit with an individual. 
As such we have operationalized the following project objectives: 
1.	To identify empirically validated (personal and social/physical) behavior change mechanisms and behavior change techniques that can effectively motivate and support people to self-manage their health.
2.	To identify potentially effective BITs and to evaluate their content, mode of delivery and user experiences on the fit with vulnerable groups.
3.	To design and build dynamically tailored BITs based on objectives 1 and 2, in co-creation with stakeholders (including end-users) for two specific cases.
4.	To design and build a scalable platform for gathering of necessary data and delivery of services and BITs over a range of available ICT infrastructure, depending on the personal situation
5.	To validate  the BITs within their specific context, focusing on effectiveness, user experience and implementation fidelity in relation with vulnerable/low literacy groups, as specific requirements need to be met in order to fit with the demands and needs of these groups
6.	To develop business models in relation to the proposed solution that fit multi stakeholder interests and allow for scaling up to reach all vulnerable people in the EU"
46903;0037/2015;Abnormal accumulation of glucose-derived metabolite, methylglyoxal, or “dicarbonyl stress” as a common mechanism of metabolic and vascular co-morbidities in obesity, diabetes and renal failure;Kaňková Kateřina, prof. MUDr. Ph.D.;2524;Příjemce;LF;Ústav patologické fyziologie;"Obesity, diabetes and kidney failure are common co-morbidities leading to impaired glucose control and increased risk of vascular disease. They are of high and increasing prevalence in EU countries. These co-morbidities are leading causes of further health decline and premature mortality, posing challenges for appropriate and effective healthcare and resources. Current treatments are unable to halt the disease epidemics and to prevent their late consequences. Identification and targeting new metabolic pathways and other metabolic abnormalities seem likely to yield improved therapy, particularly in a personalized approach. The aim of this project is to investigate how abnormal high levels of the reactive metabolite methylglyoxal (a principal marker of “dicarbonyl stress”) in obesity, diabetes and renal failure contributes to common mechanisms driving development of metabolic and vascular co-morbidities and exploit this for improved patient care. We will characterise the role of dicarbonyl stress in the co-morbidities and evaluate, at proof of concept stage, novel nutritional medicine treatments. The objectives are:
1. To develop experimental evidence in preclinical and clinical studies evaluating the pathophysiological role of dicarbonyl stress in metabolic and vascular co-morbidities of obesity, diabetes and renal insufficiency.
2. To personalize treatment and care by developing biomarkers to stratify the patient population by severity of dicarbonyl stress.
3. To evaluate treatments for dicarbonyl stress to halt and alleviate co-morbidities. The primary clinical intervention evaluated is a dietary bioactive formulation (nutritional medicine) that increases expression of glyoxalase 1 - the enzyme that detoxifies methylglyoxal.
4. To expand the skills base and share best practise in dicarbonyl stress research.
5. To secure related technical and medical innovation for the EU. 
The likely outcome will be novel diagnostic markers to facilitate personalized treatment of dicarbonyl stress and safe, nutritional medicine for alleviation of common co-morbidities."
46243;1917/2014;PiSCE - Pilot project on the promotion of self-care systems in the European Union. Platform of experts.;Bourek Aleš, MUDr. Ph.D.;1062;Partner;LF;Biofyzikální ústav;The main project outcome is to put in place a framework for action
44511;1064/2014;The Sherlock Holmes Detective Case;Matulová Petra, RNDr. CSc.;9032;Příjemce;LF;Biologický ústav;to enhance self-care at EU level and develop strategies to support the broader implementation of effective self-care by producing:
43483;0886/2014;What not to talk about;Matějovská Kubešová Hana, prof. MUDr. CSc.;1091;Příjemce;LF;Klinika interní, geriatr. a pr.lék.;- Guidelines to promote self-care
43206;0857/2014;Dicarbonyl stress as a common mechanism of vascular disease in diabetes and renal failure - alleviation with glyoxalase 1 inducers;Kaňková Kateřina, prof. MUDr. Ph.D.;2524;Příjemce;LF;Ústav patologické fyziologie;- Guidelines for the development and production of communication tools in this field at EU level
43183;0853/2014;Support of research activities of the Dental Clinic of the Faculty of Dentistry of MU;Vaněk Jiří, prof. MUDr. CSc.;1651;Příjemce;LF;Stomatologická klinika;- Proposal for policy measures and ways of cooperation in the field of self-care at EU level
42806;0780/2014;An ecological approach to improve procedural learning capacity in Parkinson's: console videogames, music and social interaction;Bareš Martin, prof. MUDr. Ph.D.;2002;Příjemce;LF;I. neurologická klinika;- Creation of a platform of experts in the field
42723;0768/2014;National information and education portal on childhood cancer;Štěrba Jaroslav, prof. MUDr. Ph.D.;348;Příjemce;LF;Klinika dětské onkologie;The main project outcome is to put in place a framework for action to enhance self-care at EU level and develop strategies to support the broader implementation of effective self-care by producing: -
42124;0578/2014;CZECRIN project within the framework of building the Czech part of the pan-European research infrastructure within the European Research Infrastructure Consortium (ERIC);Demlová Regina, doc. MUDr. Ph.D.;24063;Příjemce;LF;Farmakologický ústav;Guideline on the promotion of Self-care
41237;0450/2014;"Training video ""Histopathological techniques - new and practical"" """;Krejčířová Lenka, MUDr. Ph.D.;56740;Příjemce-koordinátor;LF;Ústav histologie a embryologie;- Guideline on the development and production of communication tools
41235;0448/2014;Modern approaches to wound healing;Slonková Veronika, doc. MUDr. Ph.D.;152402;Příjemce-koordinátor;LF;Dermatovenerologická klinika;- Proposal for policy actions and collaboration on self-care at EU level
41232;0442/2014;Digital image documentation;Král Tomáš, MDDr.;199310;Příjemce-koordinátor;LF;Stomatologická klinika;- Creating a platform of experts
41212;0425/2014;The use of ultrasound in conservative dentistry;Kavříková Denisa, MDDr. Ph.D.;214043;Příjemce-koordinátor;LF;Stomatologická klinika;Objectives shall be achieved by:
41209;0421/2014;Strengthening the language competences of young academic staff to prepare them for teaching cardiology in English;Sepši Milan, MUDr. Ph.D.;18787;Příjemce-koordinátor;LF;Interní kardiologická klinika;1. A cost/benefit analysis of patient self-care oriented health systems in the European Union and the current frameworks in place to enhance self-care oriented heath care systems and patients' empowerment.
41200;0410/2014;Root system machining;Kučera Petr, MDDr.;258897;Příjemce-koordinátor;LF;Stomatologická klinika;2. Transferability of best practices
41180;0409/2014;Innovations in the teaching of paediatrics: personalised treatment as a new paradigm of medicine explained in detail with real examples from paediatric oncology;Zitterbart Karel, MUDr. Ph.D.;21262;Příjemce-koordinátor;LF;Klinika dětské onkologie;3. The creation of a platform of experts in self-care and healthcare
41195;0404/2014;Supporting the teaching of virtral surgery;Paseka Tomáš, MUDr.;51159;Příjemce-koordinátor;LF;I. chirurgická klinika;Objectives 1) and 2) will be carried out by a separate contractor, see EAHC contract N°EAHC/2013/Health/26. This Tender contract concerns setting up and running the platform of experts in self-care, i.e. objective 3).
41189;0392/2014;Preparation of a publication to support teaching of internal propedeutics at LFMU in English;Ječmenová Markéta, MUDr.;214049;Příjemce-koordinátor;LF;Interní gastroenterologická klinika;The project will be called The Sherlock Holmes Detective Agency. The venue will be the laboratories of the Masaryk University campus in Brno. The implementation is planned for 2 periods - before Christmas and then before Easter.
41188;0388/2014;Typing of strains causing nosocomial infections by pulsed gel electrophoresis;Peroutková Tereza, Mgr.;222992;Příjemce-koordinátor;LF;Mikrobiologický ústav; It will be a series of courses, which will focus on solving a fictitious detective case, and the solver will be guided through the story by one of the most unknown detectives - Sherlock Holmes. At the outset, participants will receive a detective file containing the information needed for a successful solution and will serve to ground participants in the evidence gathered during the course. This will include a detailed description of the crime scene, the characteristics of the three suspects previously identified by Sherlock Holmes, and a list of tasks to be completed. Participants will form investigative teams (3-5 persons/team) to solve tasks at 6 stations, which will be completed in turn to obtain further clues leading to the discovery of the real culprit.  Each station will be thematically focused (water, fire, DNA, cell, cell specialization, microorganisms) and within it the young investigators will perform 3 laboratory and logic tasks, where they will certainly use the Holmes deductive method in addition to advanced scientific methods.
41170;0387/2014;Interactive model of examination procedures in clinical bacteriology - innovative study materials for students of general and dental medicine;Šišková Petra, Mgr. Ph.D.;151271;Příjemce-koordinátor;LF;Mikrobiologický ústav; The money will be used to buy chemicals, materials, prepare the tools and rewards for the lecturers who will prepare and teach the course.
41183;0377/2014;Information environment for multidisciplinary scientific education of PhD students and students in the P-PooL programme of LF MU;Hampl Aleš, doc. MVDr. CSc.;47170;Příjemce;LF;Ústav histologie a embryologie;The aim of the project is to regularly inform general practitioners about new methods of treatment and other measures in the care of patients with different groups of diseases. In 2014, the theme of the conference focuses on topics that are not often addressed at commercially oriented events, even though they are important for the work of the general practitioner. The professional level of the general practitioner significantly influences the workload of specialist and inpatient facilities. We see the greatest benefit in the continuing education of PLs and thus in improving the quality of care they provide.
41164;0376/2014;Improving the quality of practical teaching in the subject of Paediatric Dentistry.;Bartošová Michaela, MDDr. Ph.D.;177564;Příjemce-koordinátor;LF;Stomatologická klinika;The appellant is requesting a financial proportion to cover travel expenses (airfare, ground transport within the Czech Republic and UK, accommodation and subsistence) in connection with pre-application meetings prior to the 1st stage of the call:
41159;0369/2014;Course of work with scientific text aimed at students and staff of the Department of Pathological Physiology, Faculty of Medicine, MU;Konečný David, Mgr.;109462;Příjemce-koordinátor;LF;Ústav patologické fyziologie;
41133;0359/2014;Innovation of teaching practical exercises in biochemistry;Hlaváčová Miroslava, MUDr. Ph.D.;177041;Příjemce-koordinátor;LF;Biochemický ústav; H2020-PHC-2014-2015: Understanding common mechanisms of diseases and their relevance in co-morbidities
41156;0356/2014;Immunosenescence and Cancer;Piskáček Martin, Dipl. Ing. Dr. rer. nat.;116130;Příjemce-koordinátor;LF;Ústav patologické fyziologie;
41154;0354/2014;The mechanisms of fibroblast growth factor receptor (FGFR) signal initiation and propagation in major physiological and pathological areas regulated by FGFR signaling;Krejčí Pavel, RNDr. Ph.D.;101398;Příjemce-koordinátor;LF;Biologický ústav; The proposer expects 1-2 one-day meetings at the coordinator's site in the UK (University of Warwick). In case of successful progression to Stage 2, a separate application will be submitted for 2015 to cover travel costs related to the preparation of the full-extent project application.
41153;0352/2014;SHANK3 and human autistic disease model;Wadeley Yuh-Man, doc. Doctor of Philosophy;115923;Příjemce-koordinátor;LF;Biologický ústav;
41129;0350/2014;Innovations in pharmacology teaching with emphasis on practical skills;Juřica Jan, doc. PharmDr. Ph.D.;14537;Jiný účastník;LF;Farmakologický ústav; Call topic description: The development of new treatments is greatly facilitated by an improved understanding of the pathophysiology of diseases. There is therefore a need to address the current knowledge gaps in disease etiology in order to support innovation in the development of evidence-based treatments. In this context, a better understanding of the mechanisms that are common to several diseases, in particular of those leading to co-morbidities, constitutes an important challenge.
41123;0331/2014;Consortium for Exploration of Genome Integrity and Early Phase Drug Development;Krejčí Lumír, doc. Mgr. Ph.D.;18098;Příjemce-koordinátor;LF;Biologický ústav;Since 2014, the Dental Clinic (STK) of the Faculty of Dentistry of the Medical Faculty of Masaryk University has been participating in the
41100;0327/2014;Examination of the deceased - practical teaching of examination of the deceased for students of the Faculty of Medicine and for doctors performing this activity in their practice;Krajsa Jan, MUDr. Ph.D.;132384;Příjemce-koordinátor;LF;Ústav soudního lékařství;Excellence project within the framework of the GAČR focused on the regeneration of facial and
41116;0324/2014;Innovations in practical teaching of paediatric surgery at the Department of Paediatric Surgery, Orthopaedics and Traumatology.;Kubát Martin, MUDr.;259101;Příjemce-koordinátor;LF;Klinika dětské chirurgie;dental tissues. In this project, STK came up with an originally unplanned
41098;0322/2014;First aid - practical seminar;Šišáková Martina, MUDr. Ph.D.;46524;Příjemce-koordinátor;LF;Interní kardiologická klinika;research method for which it does not have the financial means. Therefore, we appeal to the
41094;0314/2014;Increase laboratory literacy of postgraduate students in molecular biology laboratory by developing GLP (Good Laboratory Practice) protocols;Novák Jan, MUDr. Ph.D.;324158;Příjemce-koordinátor;LF;Ústav patologické fyziologie;South Moravian Regional Authority for non-investment financial support (see attachment) in the amount of
41105;0308/2014;A manual for increasing the publishing literacy of pre- and postgraduate students, containing basic knowledge and guidelines for creating publications of various types;Dobrovolná Julie, prof. MUDr. Ph.D.;4805;Příjemce-koordinátor;LF;Ústav patologické fyziologie;177 000,-CZK, which will enable the new method of the
41075;0298/2014;Clinical challenge;Adámek Ondřej, MUDr.;380963;Příjemce-koordinátor;LF;II. interní klinika;Tissue
41065;0282/2014;STAMP2 as a novel therapeutic target in prostate cancer;Masařík Michal, prof. RNDr. Ph.D.;21142;Příjemce-koordinátor;LF;Ústav patologické fyziologie; Culture Laboratory
41038;0275/2014;Extension and individualization of practical training of 4th year ZL students by general dentists;Bartáková Sonia, doc. MUDr. Ph.D.;1998;Příjemce-koordinátor;LF;Stomatologická klinika;of the STK LF MU to be implemented this year and thus stabilize the financial situation of the STK LF MU in all its
41031;0261/2014;Use of modern audiovisual technology and materials in teaching prosthetic subjects of preclinical dentistry, gnatology;Nevoránková Petra, MDDr.;176756;Příjemce-koordinátor;LF;Stomatologická klinika;activities.
