Id;regCode;title;author;uco;state;dateBegin;dateEnd;muRole;investor;hs;department;annotation;annotationLanguage;annotationTransl;authorType
141909;0030/2023;Advanced cellular technologies for medicine - MEDCELL;Hampl Aleš, doc. MVDr. CSc.;47170;in the process after e-schv.;01.01.2024;30.06.2028;Beneficiary-coordinator;MŠMT ČR / OP JAK / Priority 1 - Research and Development;LF;Department of Histology and Embryology;"Many diseases still lack effective treatments due to unknown etiopathogenesis, multifactorial nature, low frequency of occurrence and other factors, and thus require completely new solutions based on the latest knowledge and technologies.
 The project chooses several major medical topics - diseases for which breakthrough scientific knowledge can be expected to be obtained by using current technologies combining the most advanced 3D models (organoids, engineered tissues), genetic analyses, bioactive molecules and ex vivo functional analyses, which are the unifying element of the project.
 The project builds on close collaboration between clinical and theoretical disciplines, paving the way for new preventive, diagnostic and therapeutic approaches, and thus has strong application potential.
 The project makes significant use of multidisciplinary approaches, and its design maximises the sharing of knowledge and infrastructure.
 Organisationally, the project is conceived as a close cooperation between theoretical departments of the Faculty of Medicine and the clinical departments of the partner hospitals. It is then joined by interactions with other MU faculties, the Faculty of Pharmacy, the Faculty of Science, CEITEC and the Faculty of Social Studies, as well as with institutions outside MU, the Brno University of Technology (CEITEC), the Institute of Experimental Medicine of the CAS, the Institute of Physiology of the CAS and the Institute of Macromolecular Chemistry of the CAS.";EN;;academic, employee
141905;0026/2023;NeuroBMI - Neuroelectronics and Medical Bioelectronics Initiative;Rektorová Irena, prof. MUDr. Ph.D.;26922;in the process after e-schv.;01.07.2023;30.06.2028;Partner;MŠMT ČR / OP JAK / Priority 1 - Research and Development;LF;International Clinical Research Centre;"The brain and nervous system are an important and complex part of the medical sciences. By creating artificial electronic connections to nervous tissue, neural activity can be sensed and also externally modified by electrical stimulation. Smart biomedical devices, built on the interconnection of electronics with living systems, represent one of the fastest growing and promising new directions in medicine today. Such devices can be used to diagnose and treat neurological diseases and injuries. This dynamic field is known as bioelectronic medicine. In parallel, the last decades have been characterized by major advances in nano- and micro-technologies for electronics and optoelectronics. Unfortunately, it is currently difficult to translate state-of-the-art electronic solutions into practice, especially in the European medical community. This gap is largely the result of limited communication and collaboration between electronic technology experts, biomedical engineers and physicians. NeuroBMI's goal is to bridge this gap and create a solid base for manufacturing and testing bioelectronic devices in the Czech Republic. Much of the necessary infrastructure and expertise is already in place, but interdisciplinary links need to be established and deepened with clear intentions. FP1 is dedicated to the development of new neural interface devices for the consortium as a whole and for the wider neuroscience community. FP1 contains four research objectives, A-D: A: Implantable brain probes to advance neuroscience research in animals; B: Implantable neural interfaces for peripheral nerves in animal models; C: New integrated magnetoelectronic devices for wireless power transfer; D: Accelerated component lifetime testing and systematic investigation of functional failures.";EN;;academic, employee
141739;1728/2022;F.A.S.T. run 2024;Volevach Ekaterina, Mgr.;460236;in the process after e-schv.;01.03.2023;31.12.2024;Recipient;MU / KoMUNIt Fund;LF;I. neurological clinic;"The project will include a race run in one of Brno's parks. The aim of the run is to teach participants to recognize and respond to life-threatening diseases using experiential pedagogy methods. The race will be organised by Masaryk University students for primary school pupils and MUNI students. The race offers a unique opportunity to experience life-saving in a real-life environment and promotes health literacy among MUNI students and the wider Brno community.
";EN;;student
141439;1683/2022;Chronic Non-Communicable Disease Prevention Tools: Innovative practices and products for assessing child health and obesity risk;Mužíková Leona, PhDr. Mgr. Ph.D.;45625;schv. MU,waiting at inv.;01.09.2023;30.11.2026;Partner;TA ČR / SIGMA / DC3 - SHUV;LF;Institute of Public Health;The project design responds to current social and economic changes (covid-19, energy crises, etc.) that indirectly affect the health and lifestyle of the population. The target population is families with children, with an emphasis on the problem of obesity, and the application aims to create effective prevention tools.;EN;;academic, employee
141220;1653/2022;Open & Re-usable Human Intracerebral EEG research Data & Software;Brázdil Milan, prof. MUDr. Ph.D.;2042;in the process after e-schv.;01.10.2023;30.09.2025;Partner;TA ČR / ERA-NET/Partnership / CHIST-ERA;LF;I. neurological clinic;Intracerebral EEG (iEEG) is an investigation performed in patients with drug-resistant epilepsy prior to surgical treatment. It aims at identifying the origin of epileptic seizures within the brain to target surgery and cure the epilepsy. Due to its unmatched temporal resolution (in the order of the millisecond) and spatial precision (millimetric), iEEG offers a unique opportunity to study the mechanisms leading to the emergence of seizure, develop novel biomarkers to improve the outcome of epilepsy surgery (e.g. high-frequency oscillations (HFOs)) but also investigate brain physiology. Indeed, many of the 150 to 250 recording leads available in each investigated patients are located in normal brain tissue, and thus enable to study normal brain function, including cognition. The main limitation of this research field is the limited number of patients undergoing such investigation, about 500 per year in Europe. This makes iEEG data particularly well suited to data sharing, data re-use and data FAIRification. With this view in mind, the European Flagship Human Brain Project has developed a platform dedicated to this objective, the Human Intracerebral EEG platform (HIP). This cloud-based, GDPR-compliant open-source platform precisely aims at sharing and re-using iEEG data, software and research projects at an international scale. Two of the partners (CHUV and HCL) were involved in this development, with CHUV being its product owner. The first beta release of the HIP was performed last September, and the platform will be available to develop use-cases from February 2023.;EN;;academic, employee
141003;1625/2022;Integrative Chemical Biology;Bryja Vítězslav, prof. Mgr. Ph.D.;11088;in the process after e-schv.;01.01.2024;30.06.2028;Beneficiary-coordinator;MŠMT ČR / OP JAK / Priority 1 - Research and Development;PřF;Department of Animal Physiology and Immunology;"Chemical biology is an interdisciplinary science aiming to understand roles and functions of small molecules (such as potential drugs, toxicants etc) within biological systems. The goal of this project is to build a strong and internationally recognized center of chemical biology research that will pursue interdisciplinary studies utilizing synergistic interactions of several disciplines, especially biology and chemistry, and will explore practical applications of the research outcomes. 
Understanding the chemico-biological interactions at different levels is essential for both intervention and treatment (e.g. development of new small molecules as pharmacologically active substances/drugs to treat disease conditions) as well as for prevention of adverse outcomes and understanding of the effects of pollutants in the environment. Typically, these two aspects are currently studied separately. This project will improve sharing of personnel, research infrastructures and capacities in these two areas and will thereby bring major added value for chemical biology science and fulfil the planned objectives. 
The main strategic goal of this project is to build a top-quality research hub in the field of chemical biology that will generate globally competitive know-how with attractive commercial potential and significant societal impact. The project will exploit the long-term investment of MUNI into this research area – specifically building of University Campus Bohunice (UKB), followed by setting up the Central European Institute of Technology (CEITEC) and European Centre of excellence in Environmental Health sciences (RECETOX), implementation of numerous large research infrastructures into UKB environment, and more recently by the planned launch of the BioPharmaHub and integration of the Faculty of Pharmacy to MUNI.
This goal will be achieved by intensifying of multidisciplinary interaction among the relevant workplaces (mostly located within one campus), using the potential of the most competitive research teams at MUNI. In addition, we plan to attract top-class junior researchers working in the field of chemical biology and to intensify the contacts with the best research institutions abroad. Special attention will be paid to the process of commercialization of university research-driven inventions (licensing, spin offs etc) in the area. Direct involvement of MUNI Te";EN;;academic, employee
141002;1624/2022;Automatic term recognition and diagnosis prediction in Czech clinical text;Račanská Michaela, RNDr. Ph.D.;10489;schv. MU,waiting at inv.;01.09.2023;30.11.2026;Partner;TA ČR / SIGMA / DC3 - SHUV;LF;Institute of Simulation Medicine;The project aims to create an electronic database of clinical terms based on real clinical communication, which will serve as an important source of information for innovations and streamlining of language education in the environment of Czech medical faculties. The aim is to support language training of future doctors in such a way that the theoretical knowledge is meaningfully connected with its practical application in the medical profession. The core of this applied research lies in the development of software methods for automatic recognition of terms in Czech clinical text and at the same time focuses on capturing the meaning relationships between terms. The result will offer an accurate anchoring of clinical terms in real medical reports and will also enable probabilistic prediction of a targeted diagnosis based on the content of the analyzed text as a stand-alone decision support tool.;EN;;academic, employee
140439;1544/2022;MUNI Self Care Hub;Fejfar Matyáš;478185;in the process after e-schv.;01.03.2023;29.02.2024;Recipient;MU / KoMUNIt Fund;LF;Institute of Public Health;The MUNI Selfcare Hub will become a bilingual portal of targeted support and assistance for Czech and English students of the Faculty of Medicine, with the potential to expand to the whole university environment. The vision of supporting students' mental health is based on the initiative of the AS LF MU Student Chamber with the professional guarantee of the Institute of Medical Psychology and Psychosomatics and the Institute of Public Health. The content focuses on mental health, proper diet and appropriate exercise habits during studies.;EN;;student
138411;1412/2022;Unresolved issues and new methods for the assessment of electrocardiographic signal and myocardial structures;Novotný Tomáš, prof. MUDr. Ph.D.;45763;Implemented by;01.01.2023;31.12.2023;Recipient;MU / Specific research - support of student projects;LF;Internal Cardiology Clinic;"The development of digital recording of electrocardiographic (ECG) signals brings new possibilities for its processing. The project builds on long-standing research and develops it in several areas: Inter-sex differences in various physiological ECG parameters with the aim of establishing previously non-existent norms (especially in children and adolescents); evaluation of the degree of preservation of autonomic regulation of the atrial ECG signal in atrial fibrillation to predict the prognosis of sinus rhythm maintenance; inhomogeneity of the propagation of electrical activation of the cardiac compartments in patients with structural heart disease; influence of structural variability of the myocardium (left atrium) on the induction and maintenance of atrial fibrillation.";EN;;academic, employee
138422;1410/2022;New trends in the diagnosis and management of heart disease;Chaloupka Anna, MUDr. Ph.D.;175621;Implemented by;01.01.2023;31.12.2023;Recipient;MU / Specific research - support of student projects;LF;I. internal cardioangiology. clinic;The proposed specific research project for 2023 builds on previous successful grant projects addressed at our clinic under this MUNI grant program. Heart disease is the leading cause of morbidity and mortality in the Czech Republic and worldwide. New diagnostic methods, including imaging methods (echocardiography, magnetic resonance imaging (MRI) and SPECT), genetic testing using next-generation sequencing and serum biomarkers allow early and accurate diagnosis of these diseases and optimization of their therapeutic management.;EN;;academic, employee
